"N","Time","avg(X)","avg(Y)","avg(Z)","avg(omega)","avg(psi)","avg(vx)","avg(vy)","max(X)","max(Y)","max(Z)","max(omega)","max(psi)","max(vx)","max(vy)","med(X)","med(Y)","med(Z)","med(omega)","med(psi)","med(vx)","med(vy)","min(X)","min(Y)","min(Z)","min(omega)","min(psi)","min(vx)","min(vy)","q1(X)","q1(Y)","q1(Z)","q1(omega)","q1(psi)","q1(vx)","q1(vy)","q3(X)","q3(Y)","q3(Z)","q3(omega)","q3(psi)","q3(vx)","q3(vy)","std(X)","std(Y)","std(Z)","std(omega)","std(psi)","std(vx)","std(vy)","vtkValidPointMask"
1568,0,0.50022,0.49938,0,-1.5103,-0.0026353,0.015354,-4.7851e-05,1,1,0,14.889,2.6533e-17,1,0.13668,0.50286,0.5,0,-1.1638e-22,-0.0014168,-0.0052118,0,0,0,0,-75.26,-0.012941,-0.15353,-0.12593,0.24477,0.24909,0,-4.802e-10,-0.0039948,-0.012603,-0.003609,0.74982,0.75013,0,2.3811e-12,-0.00036319,-0.0024056,0.0034687,0.29464,0.29443,0,8.6594,0.0029457,0.14875,0.015066,1
1568,1,0.50022,0.49938,0,-1.3467,-0.0036622,0.014017,-8.2925e-05,1,1,0,16.769,8.8526e-18,1,0.20993,0.50286,0.5,0,0.00053289,-0.0019144,-0.007338,0,0,0,0,-65.29,-0.017261,-0.1847,-0.17618,0.24477,0.24909,0,-0.0038145,-0.0055629,-0.018336,-0.0051036,0.74982,0.75013,0,0.007963,-0.00045749,-0.0032306,0.0048845,0.29464,0.29443,0,7.1331,0.0041522,0.15376,0.021629,1
1568,2,0.50022,0.49938,0,-1.2702,-0.0043349,0.013443,-0.00010798,1,1,0,20.968,7.3228e-18,1,0.25215,0.50286,0.5,0,0.00034686,-0.0022462,-0.0086884,0,0,0,0,-60.389,-0.020189,-0.18434,-0.21085,0.24477,0.24909,0,-0.0070738,-0.0065903,-0.022095,-0.00616,0.74982,0.75013,0,0.009718,-0.00052211,-0.003652,0.0059122,0.29464,0.29443,0,6.4843,0.0049434,0.15762,0.025766,1
1568,3,0.50022,0.49938,0,-1.2239,-0.0048521,0.013126,-0.00012765,1,1,0,23.195,2.9383e-17,1,0.27914,0.50286,0.5,0,0.0011954,-0.0024865,-0.0097468,0,0,0,0,-57.59,-0.022772,-0.1786,-0.23375,0.24477,0.24909,0,-0.0079309,-0.0073979,-0.024426,-0.0068312,0.74982,0.75013,0,0.016288,-0.00055157,-0.0040433,0.0067109,0.29464,0.29443,0,6.1224,0.0055509,0.1607,0.028805,1
1568,4,0.50022,0.49938,0,-1.1922,-0.0052815,0.012925,-0.00014393,1,1,0,24.577,2.6981e-17,1,0.29782,0.50286,0.5,0,0.0016151,-0.0026693,-0.010422,0,0,0,0,-55.903,-0.024816,-0.17879,-0.25013,0.24477,0.24909,0,-0.0095666,-0.0080782,-0.026304,-0.0073403,0.74982,0.75013,0,0.021182,-0.00058792,-0.0041171,0.0073119,0.29464,0.29443,0,5.8841,0.0060545,0.16327,0.031236,1
1568,5,0.50022,0.49938,0,-1.1691,-0.0056538,0.012785,-0.00015765,1,1,0,25.491,4.6382e-17,1,0.3115,0.50286,0.5,0,0.0022352,-0.0028596,-0.011097,0,0,0,0,-54.858,-0.026504,-0.17519,-0.2624,0.24477,0.24909,0,-0.010421,-0.0086841,-0.028086,-0.0080093,0.74982,0.75013,0,0.026888,-0.0006129,-0.0041219,0.0078434,0.29464,0.29443,0,5.7108,0.0064909,0.16549,0.033291,1
1568,6,0.50022,0.49938,0,-1.1515,-0.0059859,0.01268,-0.00016932,1,1,0,26.111,1.3122e-07,1,0.32195,0.50286,0.5,0,0.0023121,-0.0030305,-0.01162,0,0,0,0,-54.2,-0.02794,-0.16962,-0.27192,0.24477,0.24909,0,-0.011762,-0.0092397,-0.029566,-0.0085382,0.74982,0.75013,0,0.028498,-0.00063776,-0.0042254,0.0084797,0.29464,0.29443,0,5.5769,0.0068801,0.16746,0.03509,1
1568,7,0.50022,0.49938,0,-1.1376,-0.0062877,0.012598,-0.00017934,1,1,0,26.535,2.6945e-07,1,0.33019,0.50286,0.5,0,0.0025597,-0.0031771,-0.012129,0,0,0,0,-53.78,-0.029189,-0.16359,-0.27947,0.24477,0.24909,0,-0.011803,-0.0097138,-0.030971,-0.0090715,0.74982,0.75013,0,0.031588,-0.00066087,-0.0042642,0.0090287,0.29464,0.29443,0,5.4692,0.0072339,0.16925,0.036704,1
1568,8,0.50022,0.49938,0,-1.1263,-0.0065658,0.012531,-0.00018804,1,1,0,26.826,3.7768e-07,1,0.33685,0.50286,0.5,0,0.002703,-0.0033103,-0.012681,0,0,0,0,-53.51,-0.03038,-0.16202,-0.28559,0.24477,0.24909,0,-0.012442,-0.010113,-0.032361,-0.0093819,0.74982,0.75013,0,0.035847,-0.00067879,-0.004368,0.0093712,0.29464,0.29443,0,5.3802,0.0075598,0.17089,0.038177,1
1568,9,0.50022,0.49938,0,-1.117,-0.0068244,0.012476,-0.00019571,1,1,0,27.024,4.6335e-07,1,0.34234,0.50286,0.5,0,0.0027663,-0.0034386,-0.013134,0,0,0,0,-53.336,-0.031492,-0.16398,-0.29063,0.24477,0.24909,0,-0.013804,-0.010501,-0.033406,-0.0098165,0.74982,0.75013,0,0.038486,-0.00069258,-0.004389,0.0097502,0.29464,0.29443,0,5.305,0.007863,0.1724,0.039536,1
