"omega","psi","vx","vy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1555606,1.6885306e-18,0,0,1,0,0,0.5,0
1.1452739,-1.1309667e-05,3.3414955e-05,0.00098634417,1,0.001,0.001,0.5,0
1.1349872,-2.2619334e-05,6.6829911e-05,0.0019726883,1,0.0020000001,0.0020000001,0.5,0
1.1247005,-3.3929e-05,0.00010024486,0.0029590324,1,0.003,0.003,0.5,0
1.1144138,-4.5238669e-05,0.00013365982,0.0039453767,1,0.0040000002,0.0040000002,0.5,0
1.1041271,-5.6548332e-05,0.00016707477,0.0049317205,1,0.0049999999,0.0049999999,0.5,0
1.0938404,-6.7858e-05,0.00020048972,0.0059180648,1,0.0060000001,0.0060000001,0.5,0
1.0835536,-7.9167669e-05,0.00023390468,0.0069044091,1,0.0070000002,0.0070000002,0.5,0
1.0732669,-9.0477337e-05,0.00026731964,0.0078907534,1,0.0080000004,0.0080000004,0.5,0
1.0629802,-0.000101787,0.00030073457,0.0088770967,1,0.0089999996,0.0089999996,0.5,0
1.0526935,-0.00011309666,0.00033414953,0.009863441,1,0.0099999998,0.0099999998,0.5,0
1.0424068,-0.00012440633,0.00036756449,0.010849785,1,0.011,0.011,0.5,0
1.0321201,-0.000135716,0.00040097945,0.01183613,1,0.012,0.012,0.5,0
1.0218334,-0.00014702567,0.00043439441,0.012822474,1,0.013,0.013,0.5,0
1.0115467,-0.00015833534,0.00046780937,0.013808818,1,0.014,0.014,0.5,0
1.00126,-0.000169645,0.0005012243,0.014795162,1,0.015,0.015,0.5,0
0.99097325,-0.00018095467,0.00053463929,0.015781507,1,0.016000001,0.016000001,0.5,0
0.98068654,-0.00019226434,0.00056805425,0.016767851,1,0.017000001,0.017000001,0.5,0
0.97039984,-0.00020357399,0.00060146914,0.017754193,1,0.017999999,0.017999999,0.5,0
0.96011313,-0.00021488366,0.0006348841,0.018740538,1,0.018999999,0.018999999,0.5,0
0.94982642,-0.00022619333,0.00066829906,0.019726882,1,0.02,0.02,0.5,0
0.93953971,-0.000237503,0.00070171402,0.020713226,1,0.021,0.021,0.5,0
0.929253,-0.00024881266,0.00073512898,0.021699571,1,0.022,0.022,0.5,0
0.91896629,-0.00026012233,0.00076854394,0.022685915,1,0.023,0.023,0.5,0
0.93055142,-0.00028475768,0.0006334348,0.023891797,1,0.024,0.024,0.5,0
0.96766796,-0.00033064471,0.00022374626,0.02545292,1,0.025,0.025,0.5,0
1.0053429,-0.00037566596,-0.00018016284,0.026964542,1,0.026000001,0.026000001,0.5,0
1.0430178,-0.00042068722,-0.00058407194,0.028476164,1,0.027000001,0.027000001,0.5,0
1.0806928,-0.00046570848,-0.00098798105,0.029987786,1,0.028000001,0.028000001,0.5,0
1.1183676,-0.00051072965,-0.0013918894,0.031499406,1,0.028999999,0.028999999,0.5,0
1.1560426,-0.00055575091,-0.0017957985,0.033011028,1,0.029999999,0.029999999,0.5,0
1.1937175,-0.00060077217,-0.0021997076,0.03452265,1,0.030999999,0.030999999,0.5,0
1.2313925,-0.00064579351,-0.0026036175,0.036034275,1,0.032000002,0.032000002,0.5,0
1.2690674,-0.00069081468,-0.0030075258,0.037545894,1,0.033,0.033,0.5,0
1.3067424,-0.00073583603,-0.0034114357,0.039057519,1,0.034000002,0.034000002,0.5,0
1.3444172,-0.0007808572,-0.003815344,0.040569139,1,0.035,0.035,0.5,0
1.3820921,-0.00082587837,-0.0042192524,0.042080758,1,0.035999998,0.035999998,0.5,0
1.4197671,-0.00087089971,-0.0046231622,0.043592383,1,0.037,0.037,0.5,0
1.457442,-0.00091592089,-0.0050270706,0.045104002,1,0.037999999,0.037999999,0.5,0
1.495117,-0.00096094223,-0.0054309804,0.046615627,1,0.039000001,0.039000001,0.5,0
1.5327918,-0.0010059634,-0.0058348888,0.048127246,1,0.039999999,0.039999999,0.5,0
1.5704668,-0.0010509847,-0.0062387986,0.049638871,1,0.041000001,0.041000001,0.5,0
1.6081417,-0.0010960059,-0.006642707,0.051150491,1,0.041999999,0.041999999,0.5,0
1.6458167,-0.0011410273,-0.0070466168,0.052662116,1,0.043000001,0.043000001,0.5,0
1.6834916,-0.0011860484,-0.0074505252,0.054173735,1,0.044,0.044,0.5,0
1.7211666,-0.0012310698,-0.007854435,0.05568536,1,0.045000002,0.045000002,0.5,0
1.7588414,-0.0012760909,-0.0082583434,0.057196979,1,0.046,0.046,0.5,0
1.7965163,-0.0013211121,-0.0086622517,0.058708599,1,0.046999998,0.046999998,0.5,0
1.8341913,-0.0013661335,-0.0090661616,0.060220224,1,0.048,0.048,0.5,0
1.8718662,-0.0014111546,-0.00947007,0.061731843,1,0.048999999,0.048999999,0.5,0
1.9095412,-0.001456176,-0.0098739798,0.063243468,1,0.050000001,0.050000001,0.5,0
1.947216,-0.0015011972,-0.010277888,0.064755087,1,0.050999999,0.050999999,0.5,0
1.984891,-0.0015462185,-0.010681798,0.066266712,1,0.052000001,0.052000001,0.5,0
2.0225659,-0.0015912397,-0.011085706,0.067778332,1,0.052999999,0.052999999,0.5,0
2.0602409,-0.001636261,-0.011489616,0.069289957,1,0.054000001,0.054000001,0.5,0
2.0979158,-0.0016812822,-0.011893525,0.070801576,1,0.055,0.055,0.5,0
2.1374946,-0.0017282077,-0.012082424,0.072406868,1,0.056000002,0.056000002,0.5,0
2.1778532,-0.0017759132,-0.012183247,0.074050524,1,0.057,0.057,0.5,0
2.2182118,-0.0018236186,-0.012284071,0.075694179,1,0.057999998,0.057999998,0.5,0
2.2251233,-0.00189721,-0.01282366,0.077650481,1,0.059,0.059,0.5,0
2.2185454,-0.0019812409,-0.0135402,0.079732863,1,0.059999999,0.059999999,0.5,0
2.2119676,-0.0020652721,-0.014256743,0.081815252,1,0.061000001,0.061000001,0.5,0
2.1854172,-0.0021705169,-0.014841292,0.083601893,1,0.061999999,0.061999999,0.5,0
2.155265,-0.0022795875,-0.015402042,0.085335211,1,0.063000001,0.063000001,0.5,0
2.1251129,-0.0023886581,-0.015962793,0.087068528,1,0.064000003,0.064000003,0.5,0
2.0949611,-0.0024977279,-0.016523539,0.088801833,1,0.064999998,0.064999998,0.5,0
