"omega","psi","vx","vy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.8033847e-24,6.1520684e-19,0,0,1,0,0.5,0,0
-3.5458115e-24,-4.0326946e-06,-0.00014853138,-5.2406927e-08,1,0.001,0.5,0.001,0
-9.8950077e-24,-8.0653892e-06,-0.00029706276,-1.0481385e-07,1,0.0020000001,0.5,0.0020000001,0
-1.6244203e-23,-1.2098083e-05,-0.00044559412,-1.5722077e-07,1,0.003,0.5,0.003,0
-2.25934e-23,-1.6130778e-05,-0.00059412551,-2.0962771e-07,1,0.0040000002,0.5,0.0040000002,0
-2.8942594e-23,-2.0163471e-05,-0.00074265684,-2.6203462e-07,1,0.0049999999,0.5,0.0049999999,0
-3.5291791e-23,-2.4196167e-05,-0.00089118824,-3.1444155e-07,1,0.0060000001,0.5,0.0060000001,0
-4.1640988e-23,-2.8228862e-05,-0.0010397196,-3.6684848e-07,1,0.0070000002,0.5,0.0070000002,0
-4.7990185e-23,-3.2261557e-05,-0.001188251,-4.1925541e-07,1,0.0080000004,0.5,0.0080000004,0
-5.4339376e-23,-3.6294248e-05,-0.0013367823,-4.716623e-07,1,0.0089999996,0.5,0.0089999996,0
-6.0688573e-23,-4.0326943e-05,-0.0014853137,-5.2406923e-07,1,0.0099999998,0.5,0.0099999998,0
-6.703777e-23,-4.4359638e-05,-0.0016338451,-5.7647616e-07,1,0.011,0.5,0.011,0
-7.3386967e-23,-4.8392333e-05,-0.0017823765,-6.288831e-07,1,0.012,0.5,0.012,0
-7.9736164e-23,-5.2425028e-05,-0.0019309079,-6.8129003e-07,1,0.013,0.5,0.013,0
-8.6085361e-23,-5.6457723e-05,-0.0020794393,-7.3369696e-07,1,0.014,0.5,0.014,0
-9.2434552e-23,-6.0490414e-05,-0.0022279705,-7.8610385e-07,1,0.015,0.5,0.015,0
-9.8783755e-23,-6.4523113e-05,-0.0023765021,-8.3851083e-07,1,0.016000001,0.5,0.016000001,0
-1.0513295e-22,-6.8555808e-05,-0.0025250335,-8.9091776e-07,1,0.017000001,0.5,0.017000001,0
-1.1148214e-22,-7.2588496e-05,-0.0026735646,-9.433246e-07,1,0.017999999,0.5,0.017999999,0
-1.1783133e-22,-7.6621191e-05,-0.002822096,-9.9573153e-07,1,0.018999999,0.5,0.018999999,0
-1.2418053e-22,-8.0653886e-05,-0.0029706274,-1.0481385e-06,1,0.02,0.5,0.02,0
-1.3052973e-22,-8.4686581e-05,-0.0031191588,-1.1005454e-06,1,0.021,0.5,0.021,0
-1.3687892e-22,-8.8719276e-05,-0.0032676902,-1.1529523e-06,1,0.022,0.5,0.022,0
-1.4322812e-22,-9.2751971e-05,-0.0034162215,-1.2053593e-06,1,0.023,0.5,0.023,0
-1.4957732e-22,-9.6784666e-05,-0.0035647529,-1.2577662e-06,1,0.024,0.5,0.024,0
-1.5592652e-22,-0.00010081736,-0.0037132843,-1.3101731e-06,1,0.025,0.5,0.025,0
-1.6227571e-22,-0.00010485006,-0.0038618157,-1.3625801e-06,1,0.026000001,0.5,0.026000001,0
-1.6721905e-22,-0.00010887618,-0.0039821956,-3.1387021e-07,1,0.027000001,0.5,0.027000001,0
-1.5016204e-22,-0.00011292375,-0.0040457041,4.3267801e-07,1,0.028000001,0.5,0.028000001,0
-1.0775195e-22,-0.00011699712,-0.0040470598,6.7630114e-07,1,0.028999999,0.5,0.028999999,0
-6.534178e-23,-0.00012107049,-0.0040484155,9.1992472e-07,1,0.029999999,0.5,0.029999999,0
-2.293161e-23,-0.00012514387,-0.0040497712,1.1635483e-06,1,0.030999999,0.5,0.030999999,0
1.9478639e-23,-0.00012921725,-0.0040511269,1.4071723e-06,1,0.032000002,0.5,0.032000002,0
5.9152772e-23,-0.00013328742,-0.004052487,1.5188751e-06,1,0.033,0.5,0.033,0
